Province_State,Country_Region,Confirmed,Deaths,Recovered,Active,Incident_Rate,Case_Fatality_Ratio
Mari El Republic,Russia,12542,205,11672.0,665.0,1838.105441184876,1.6345080529421143
Martinique,France,7679,50,98.0,7531.0,2046.287290314844,0.6511264487563485
Maryland,United States,411344,8227,296968.543127266,106148.45687273402,6556.603829688633,2.09649996016303
Massachusetts,United States,596941,17177,427100.99161691574,152663.00838308426,7711.875848339074,3.096627477357349
Mato Grosso,Brazil,310337,7675,284856.0,16148.0,8854.900578740042,2.444368100704595
Mato Grosso do Sul,Brazil,217457,4334,194999.0,16322.0,7758.153513547747,1.9837846362211151
Maule,Chile,54132,989,49997.0,3146.0,5180.343557107995,1.827015443730141
Mayotte,France,19408,161,2964.0,16283.0,7114.030489749389,0.8295548227535037
Mecklenburg-Vorpommern,Germany,30658,867,26910.0,2881.0,1903.3085957434128,2.827973122839063
Meghalaya,India,14065,150,13866.0,49.0,417.7669000299996,1.066477070742979
Melaka,Malaysia,6537,22,6196.0,319.0,700.8684464458025,0.3365458161236041
Melilla,Spain,7861,79,125.0,7657.0,9282.197215695072,1.00496120086503
Meta,Colombia,43742,999,42271.0,472.0,4207.086124944937,2.2838461890174204
Metropolitana,Chile,419769,12868,392112.0,14789.0,5901.593294800028,3.065495546360022
Michigan,United States,716409,16845,515355.348209782,184208.651790218,6633.7886357575335,2.2161191513913043
Mie,Japan,2753,70,2627.0,56.0,154.58632295682702,2.542680711950599
Minas Gerais,Brazil,1123913,24332,1005681.0,93900.0,5309.292344565167,2.164936253962718
Minnesota,United States,518620,6826,377028.79948321695,134765.20051678305,9667.71570269402,1.342750550381182
Mississippi,United States,305146,7032,219614.85193093264,78499.14806906738,10907.781820257385,2.6246540002548713
Missouri,United States,581680,8853,421990.6370953405,150836.36290465947,9396.871330702817,1.511722967415252
Miyagi,Japan,6035,31,4372.0,1632.0,261.66716889997895,0.5136702568351285
Miyazaki,Japan,1962,22,1924.0,16.0,182.80053778017532,1.1213047910295617
Mizoram,India,4476,11,4434.0,31.0,361.1879500727863,0.2457551385165326
Molise,Italy,12270,438,10966.0,866.0,4014.8290180192857,3.569682151589242
Montana,United States,104296,1423,75784.56115006619,27088.43884993381,9681.639777568553,1.7786552051452325
Montserrat,United Kingdom,20,1,19.0,0.0,400.0800160032006,5.0
Mordovia Republic,Russia,19052,203,17039.0,1810.0,2366.5434454249144,1.065504933865211
Moscow,Russia,1026740,16656,944738.0,65346.0,8209.671987326878,1.6222217893527089
Moscow Oblast,Russia,232261,5441,190628.0,36192.0,3095.416268790686,2.3426231696238284
Murcia,Spain,108542,1562,2180.0,104800.0,7296.141666493017,1.439074275395699
Murmansk Oblast,Russia,49068,1080,46965.0,1023.0,6511.518040440205,2.201027146001467
Mykolaiv Oblast,Ukraine,51924,1062,41892.0,8970.0,2058.8250454694867,2.045296972498267
Nagaland,India,12340,92,12136.0,112.0,548.5187992150047,0.7455429497568882
Nagano,Japan,2796,41,2513.0,242.0,136.4707949570234,1.4663805436337625
Nagasaki,Japan,1634,39,1577.0,18.0,123.17907553877652,2.386780905752754
Namur,Belgium,48274,0,0.0,48274.0,9735.958953839205,0.0
Nara,Japan,3691,55,3433.0,203.0,277.4931340936139,1.490111081007857
Narino,Colombia,50335,1693,47843.0,799.0,3086.915672344768,3.363464785934241
Navarra,Spain,54315,1121,3905.0,49289.0,8356.848107381229,2.063886587498849
Nebraska,United States,207492,2169,151257.50633319764,54065.493666802366,9289.088084848196,1.446179316300403
Negeri Sembilan,Malaysia,17269,31,16868.0,370.0,1525.3952831021995,0.1795124211013955
Nenets Autonomous Okrug,Russia,1082,4,1019.0,59.0,2459.258585812669,0.3696857670979667
Nevada,United States,303762,5249,219908.7875593179,78604.21244068211,7121.5181091068725,1.6726781369006896
New Brunswick,Canada,1613,30,1447.0,136.0,204.37771231271185,1.8598884066955983
New Caledonia,France,121,0,58.0,63.0,42.38312241016354,0.0
New Hampshire,United States,83011,1233,60244.2802458382,21533.7197541618,5099.695834949436,1.423532773663823
New Jersey,United States,907761,24561,650636.4586211976,232563.54137880242,9700.874833377842,2.6298124057320655
New Mexico,United States,186031,3841,134215.87001380886,47974.12998619114,8153.829886013633,2.1858081078813716
New South Wales,Australia,5296,54,0.0,5242.0,65.23774328652378,1.0196374622356494
New York,United States,1872965,49790,1343097.9681235303,480077.0318764698,7276.936402908224,1.9365840898523143
Newfoundland and Labrador,Canada,1019,6,1006.0,7.0,195.7533622897188,0.5888125613346418
Niedersachsen,Germany,198107,4880,177600.0,15627.0,2475.279008813856,2.463315279116841
Niigata,Japan,1461,18,1237.0,206.0,65.71886360794312,1.2320328542094456
Ningxia,China,75,0,75.0,0.0,1.041282838242681,0.0
Nizhny Novgorod Oblast,Russia,107452,2847,101555.0,3050.0,3321.8002492926817,2.649555150206604
Noord-Brabant,Netherlands,200581,3003,0.0,197578.0,7826.161598623464,1.4971507769928358
Noord-Holland,Netherlands,220654,2413,0.0,218241.0,7662.85573984894,1.093567304467628
Nordrhein-Westfalen,Germany,612947,14230,551400.0,47317.0,3419.4003314817883,2.3215710330583232
Norrbotten,Sweden,16375,238,0.0,16137.0,6547.5643060781385,1.453435114503817
North Carolina,United States,914132,12112,664500.7907670886,237519.2092329114,8867.377965456064,1.5786213271622926
North Dakota,United States,103091,1466,74865.18354549276,26759.816454507243,12519.49946076013,1.9255894250218508
North Ossetia - Alania Republic,Russia,16339,161,15361.0,817.0,2328.272284881691,0.9853724218128403
Northern Ireland,United Kingdom,117289,2115,0.0,115174.0,6233.471513605442,1.803238155325734
Northern Mariana Islands,United States,159,2,115.6588813445743,41.3411186554257,288.3359930364137,1.2578616352201255
Northern Territory,Australia,108,0,106.0,2.0,43.97394136807818,0.0
Northwest Territories,Canada,47,0,47.0,0.0,103.28762306610408,0.0
Nova Scotia,Canada,1716,66,1627.0,23.0,172.97428065984244,3.8461538461538463
Novgorod Oblast,Russia,28674,121,25749.0,2804.0,4727.969449739149,0.4219850735858269
Novosibirsk Oblast,Russia,38774,1625,35949.0,1200.0,1390.3226743362584,4.190952700263063
Nuble,Chile,21360,403,19910.0,1047.0,4444.361216706304,1.886704119850188
Nunavut,Canada,395,4,391.0,0.0,1002.4617414917644,1.0126582278481011
OHiggins,Chile,38436,890,35429.0,2117.0,4202.699673611756,2.315537516911229
Odessa Oblast,Ukraine,107566,1776,83037.0,22753.0,4518.995020812433,1.651079337337077
Odisha,India,340917,1921,337091.0,1905.0,735.4270076663095,0.5634802605912876
Ohio,United States,1017566,19289,735411.471923679,262865.52807632106,8635.16716660067,2.114253664794835
Oita,Japan,1309,22,1277.0,10.0,115.2863134272886,1.680672268907563
Okayama,Japan,2693,35,2524.0,134.0,142.5179907133097,1.2996658002228
Okinawa,Japan,9482,128,8622.0,732.0,652.5054226352356,1.3499261759122547
Oklahoma,United States,437853,4953,318909.106586409,113990.893413591,11563.807105959084,1.270457477344978
Omsk Oblast,Russia,43776,1316,40523.0,1937.0,2233.377090028422,3.006213450292398
Ontario,Canada,356576,7366,329652.0,19558.0,2405.0273986535794,2.065758772323432
Orebro,Sweden,22112,301,0.0,21811.0,7254.474172011614,1.3612518089725036
